Mode,Response
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Text,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Hvoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Avoice,Yes
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Text,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Hvoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
Avoice,No
